,Seed 0,Seed 4,Seed 9,Seed 14,Seed 15,Seed 24,Seed 25,Seed 29,Seed 30,Seed 34,Seed 40,Seed 41,Seed 45,Seed 46,Seed 47,Seed 53,Seed 55,Seed 61,Seed 62,Seed 74,Seed 78,Seed 83,Seed 91,Seed 96,Seed 97,Seed 1,Seed 3,Seed 10,Seed 20,Seed 35,Seed 65,Seed 67,Seed 75,Seed 79,Seed 82,Seed 84,Seed 90,Seed 93,Seed 95,Seed 2,Seed 7,Seed 22,Seed 26,Seed 27,Seed 38,Seed 39,Seed 50,Seed 57,Seed 63,Seed 69,Seed 88,Seed 92,Seed 94,Seed 19,Seed 28,Seed 54,Seed 72,Seed 89,Seed 13,Seed 42,Seed 49,Seed 58,Seed 77,Seed 5,Seed 21,Seed 37,Seed 48,Seed 59,Seed 70,Seed 73,Seed 86,Seed 6,Seed 8,Seed 11,Seed 17,Seed 18,Seed 68,Seed 76,Seed 80,Seed 98,Seed 52,Seed 87,Seed 23,Seed 36,Seed 85,Seed 43,Seed 51,Seed 56,Seed 60,Seed 31,Seed 66,Seed 81,Seed 12,Seed 16,Seed 64,Seed 71,Seed 99,Seed 44,Seed 32,Seed 33
sigma_97,0.825055,0.822130,0.826529,0.822095,0.822147,0.822840,0.821906,0.822262,0.822063,0.822168,0.822253,0.822141,0.822232,0.822210,0.822086,0.822296,0.822191,0.826691,0.822253,0.822065,0.822267,0.822205,0.822010,0.822376,1.000000,0.822172,0.826674,0.822429,0.822368,0.822126,0.822115,0.822329,0.825519,0.822417,0.822562,0.825690,0.821794,0.821986,0.821932,0.827846,0.822367,0.822166,0.822482,0.825140,0.825940,0.822636,0.826035,0.822070,0.822275,0.822013,0.822631,0.822306,0.828004,0.822055,0.822138,0.822153,0.822041,0.822367,0.822234,0.821987,0.822447,0.822210,0.822368,0.822041,0.822047,0.822159,0.826031,0.822001,0.822000,0.822383,0.822069,0.822003,0.822211,0.822540,0.821995,0.827564,0.822103,0.821963,0.821862,0.822157,0.825760,0.821874,0.826987,0.821969,0.822388,0.826337,0.824823,0.825824,0.822274,0.821980,0.822471,0.827121,0.822142,0.826218,0.822272,0.821985,0.822031,0.822171,0.822224,0.824823
sigma_1,0.744367,0.744703,0.743939,0.754357,0.750474,0.744537,0.744277,0.744844,0.744344,0.744506,0.744241,0.744760,0.750688,0.744309,0.744093,0.744769,0.749194,0.744126,0.744334,0.744229,0.744291,0.744215,0.744325,0.744359,0.744239,1.000000,0.750744,0.752783,0.750247,0.747643,0.755854,0.751936,0.749527,0.749730,0.751792,0.749949,0.750683,0.748152,0.748886,0.743960,0.744103,0.744253,0.744228,0.744348,0.744276,0.745729,0.744501,0.744272,0.743931,0.744450,0.744288,0.744367,0.744396,0.744432,0.744198,0.744673,0.744250,0.744480,0.744869,0.744260,0.744304,0.744401,0.744393,0.744331,0.744099,0.744315,0.744233,0.744180,0.744419,0.744272,0.744097,0.744417,0.744750,0.744148,0.743994,0.744473,0.744837,0.744124,0.744334,0.744054,0.744421,0.745337,0.744725,0.744228,0.744103,0.744234,0.744267,0.744339,0.743904,0.744013,0.744656,0.744519,0.744316,0.744244,0.744298,0.744077,0.744263,0.744323,0.744036,0.744168
sigma_3,0.777015,0.776780,0.776331,0.777005,0.782293,0.788088,0.776914,0.776341,0.780192,0.776549,0.776845,0.776535,0.776653,0.781161,0.776856,0.783039,0.776795,0.776447,0.781696,0.778898,0.776484,0.776763,0.776423,0.781535,0.781033,0.783031,1.000000,0.776894,0.777078,0.776519,0.777212,0.776633,0.776471,0.776318,0.776502,0.776622,0.776692,0.776581,0.776864,0.777234,0.777060,0.776446,0.776407,0.776648,0.780983,0.786393,0.781190,0.776712,0.776452,0.776500,0.776518,0.782277,0.776912,0.786825,0.780013,0.782614,0.781721,0.783641,0.776786,0.776687,0.776751,0.776748,0.776362,0.776780,0.776308,0.776524,0.776768,0.776452,0.776392,0.776235,0.777145,0.776257,0.776570,0.776284,0.776365,0.776463,0.776561,0.776443,0.776743,0.776336,0.776669,0.777202,0.777343,0.776539,0.776432,0.776556,0.776394,0.776443,0.777367,0.776547,0.776622,0.776807,0.776724,0.776938,0.777040,0.776446,0.776339,0.776703,0.776888,0.776524
sigma_10,0.720137,0.719852,0.720176,0.720968,0.720261,0.720308,0.720004,0.728347,0.719953,0.720489,0.720339,0.720976,0.727272,0.720068,0.719837,0.720161,0.725328,0.719781,0.719986,0.719952,0.719715,0.720157,0.725686,0.720296,0.720277,0.728565,0.720386,1.000000,0.720071,0.720150,0.720679,0.720482,0.725675,0.720118,0.720895,0.720813,0.720458,0.719884,0.720301,0.720222,0.720338,0.719822,0.720273,0.719806,0.720021,0.731890,0.726100,0.720004,0.720132,0.719891,0.719949,0.719918,0.720396,0.719767,0.720048,0.720339,0.719964,0.720455,0.720311,0.719919,0.720259,0.720291,0.720171,0.720394,0.720171,0.728534,0.720186,0.719905,0.719963,0.730763,0.720204,0.720047,0.720041,0.720110,0.719921,0.720094,0.725800,0.723960,0.720331,0.719950,0.719812,0.731766,0.728070,0.720076,0.720440,0.720159,0.723776,0.725741,0.719843,0.719976,0.719932,0.720386,0.720118,0.720021,0.720602,0.720011,0.720368,0.720403,0.720367,0.719774
sigma_20,0.795315,0.800235,0.795162,0.795777,0.795506,0.795637,0.795251,0.795333,0.795289,0.795188,0.795922,0.795286,0.795399,0.795348,0.801181,0.801023,0.795451,0.799772,0.795173,0.795183,0.795287,0.795410,0.795402,0.795590,0.795521,0.801331,0.795875,0.795377,1.000000,0.795257,0.795734,0.795322,0.795281,0.795173,0.795498,0.795294,0.800798,0.798484,0.795233,0.795835,0.795296,0.802074,0.795193,0.795430,0.799603,0.795841,0.795206,0.795680,0.795814,0.795261,0.795246,0.800494,0.801699,0.795502,0.795375,0.801060,0.795481,0.801994,0.800225,0.801448,0.795391,0.800482,0.795527,0.795838,0.795377,0.795320,0.795356,0.800217,0.795183,0.795294,0.795612,0.795645,0.795740,0.795494,0.798326,0.801793,0.795320,0.795423,0.795234,0.795387,0.795510,0.795051,0.801243,0.795273,0.795541,0.795158,0.795284,0.795172,0.795346,0.795376,0.795659,0.795229,0.795297,0.795508,0.795570,0.795240,0.795344,0.795409,0.795596,0.795413
sigma_35,0.884152,0.884203,0.887017,0.884617,0.887079,0.884236,0.884253,0.884034,0.884037,0.884069,0.884023,0.888086,0.884302,0.884190,0.884132,0.884274,0.884313,0.884132,0.886919,0.885365,0.884152,0.887141,0.884075,0.884407,0.884266,0.887706,0.884303,0.884442,0.884244,1.000000,0.889453,0.884434,0.886478,0.884133,0.884505,0.884264,0.884216,0.884143,0.884140,0.884526,0.884437,0.884248,0.886809,0.884266,0.886501,0.884544,0.886638,0.887036,0.884164,0.885888,0.888205,0.884009,0.888152,0.884395,0.884129,0.884064,0.884171,0.884197,0.886789,0.884037,0.884336,0.886930,0.884207,0.884219,0.884097,0.884364,0.886600,0.884330,0.887256,0.884470,0.883974,0.885928,0.884413,0.884370,0.884192,0.884226,0.884209,0.884056,0.884358,0.884133,0.884063,0.889253,0.884223,0.885612,0.884517,0.884078,0.884110,0.886769,0.884215,0.884149,0.887822,0.884262,0.884394,0.884137,0.887579,0.884025,0.886894,0.884243,0.884278,0.884143
sigma_65,0.619766,0.620015,0.619436,0.620822,0.620250,0.620189,0.620214,0.620004,0.619725,0.619505,0.620077,0.631512,0.619801,0.619710,0.619890,0.630595,0.620279,0.619645,0.620136,0.619581,0.619665,0.619631,0.619941,0.619939,0.619631,0.631313,0.620374,0.620348,0.620097,0.624847,1.000000,0.630597,0.620191,0.620038,0.630234,0.620794,0.619644,0.619482,0.619672,0.620034,0.619879,0.619379,0.619638,0.625991,0.619861,0.635184,0.619839,0.620024,0.619654,0.619773,0.620157,0.619807,0.619781,0.619806,0.619315,0.619582,0.619920,0.620139,0.628357,0.620073,0.619861,0.619658,0.619653,0.619737,0.619650,0.619676,0.620214,0.619547,0.620010,0.620496,0.619976,0.619683,0.620166,0.619665,0.619570,0.619970,0.619728,0.619801,0.628950,0.619782,0.619967,0.620811,0.620122,0.619495,0.619692,0.619471,0.619673,0.619468,0.619576,0.619771,0.619945,0.619381,0.626693,0.620166,0.620088,0.619390,0.620063,0.619706,0.619515,0.625306
sigma_67,0.761321,0.766758,0.760619,0.761437,0.761204,0.760888,0.765820,0.767907,0.761014,0.760655,0.769459,0.761447,0.760979,0.760841,0.760957,0.761159,0.765454,0.761084,0.766795,0.763538,0.767835,0.760888,0.760941,0.760675,0.761040,0.768578,0.760988,0.761344,0.760878,0.761005,0.771780,1.000000,0.765623,0.761002,0.768112,0.766530,0.761003,0.760665,0.760785,0.761171,0.761161,0.760881,0.760899,0.765232,0.760808,0.761533,0.760635,0.760708,0.761709,0.760628,0.769353,0.760976,0.760961,0.761067,0.760860,0.760746,0.760849,0.761218,0.761341,0.761080,0.761554,0.760889,0.761059,0.760882,0.760781,0.760976,0.761099,0.760767,0.761363,0.760828,0.760556,0.760978,0.768412,0.761338,0.760758,0.761162,0.761337,0.760850,0.761165,0.760893,0.765912,0.760950,0.761076,0.760870,0.760979,0.760662,0.760794,0.760537,0.761679,0.760764,0.760732,0.761163,0.760931,0.766583,0.760950,0.760802,0.760924,0.760923,0.760855,0.760805
sigma_75,0.835078,0.839038,0.835355,0.835350,0.835128,0.835060,0.835059,0.835661,0.834985,0.835204,0.835062,0.835173,0.839192,0.835169,0.835104,0.835153,0.835286,0.835203,0.835411,0.835092,0.835123,0.839344,0.835119,0.835264,0.838566,0.840494,0.835162,0.840861,0.835174,0.837388,0.835721,0.839952,1.000000,0.835244,0.839949,0.838907,0.835196,0.835172,0.835169,0.835202,0.839495,0.835286,0.835296,0.835127,0.835119,0.835660,0.835459,0.835271,0.835329,0.837628,0.835245,0.835171,0.835276,0.835157,0.837938,0.835249,0.835255,0.835170,0.835341,0.835166,0.835297,0.835372,0.838465,0.835180,0.835104,0.840144,0.838645,0.834938,0.835021,0.835281,0.835332,0.837645,0.835523,0.835057,0.835284,0.835180,0.835449,0.835008,0.835109,0.835049,0.835225,0.835558,0.839920,0.837210,0.835249,0.835106,0.835096,0.835520,0.835005,0.834937,0.835096,0.835069,0.835052,0.835302,0.839512,0.834984,0.835049,0.835011,0.840065,0.837587
sigma_79,0.811092,0.811231,0.811428,0.811475,0.811341,0.811345,0.811143,0.811457,0.811231,0.815230,0.811418,0.811192,0.811701,0.811156,0.811335,0.811585,0.811384,0.815664,0.811585,0.811075,0.811757,0.811367,0.811173,0.811327,0.811579,0.816820,0.811124,0.811432,0.811181,0.811154,0.811682,0.811452,0.811358,1.000000,0.811483,0.815263,0.811313,0.811462,0.814924,0.811296,0.811550,0.811085,0.811363,0.814221,0.811217,0.811178,0.811325,0.811202,0.811281,0.814014,0.811383,0.811304,0.811314,0.811495,0.811212,0.811419,0.811491,0.811171,0.811249,0.811280,0.811656,0.811239,0.815455,0.816880,0.811361,0.811384,0.811309,0.811379,0.816371,0.811701,0.817089,0.811269,0.811343,0.811347,0.811207,0.811104,0.815387,0.811240,0.816072,0.811371,0.815007,0.811151,0.811240,0.813742,0.811296,0.815934,0.811381,0.814990,0.811263,0.811372,0.811275,0.816775,0.811287,0.811343,0.811164,0.813842,0.811474,0.811310,0.811239,0.814118
sigma_82,0.765061,0.765253,0.765330,0.765231,0.765137,0.765352,0.765386,0.765469,0.769375,0.765106,0.765559,0.765677,0.765259,0.765109,0.765164,0.765466,0.769559,0.765282,0.765402,0.765099,0.765225,0.764937,0.769853,0.765106,0.765587,0.772744,0.765171,0.766071,0.765368,0.765390,0.775730,0.772422,0.769933,0.765346,1.000000,0.770466,0.765507,0.765251,0.765216,0.765075,0.765117,0.765144,0.765252,0.765492,0.765041,0.765854,0.765099,0.771174,0.765217,0.765023,0.765617,0.765154,0.765315,0.764873,0.765118,0.765282,0.765052,0.765464,0.765477,0.765177,0.765310,0.765522,0.765360,0.765316,0.765141,0.765293,0.769987,0.765269,0.771300,0.765457,0.765035,0.765231,0.766057,0.772132,0.765060,0.772336,0.769960,0.765528,0.765337,0.765274,0.765484,0.765321,0.771693,0.765082,0.765610,0.765147,0.768540,0.765216,0.765022,0.765278,0.765623,0.765328,0.765509,0.770562,0.765001,0.765283,0.770472,0.765403,0.765142,0.765101
sigma_84,0.820128,0.824412,0.820129,0.820659,0.820145,0.820120,0.820141,0.825380,0.819898,0.819979,0.820486,0.825900,0.820423,0.819881,0.820031,0.820056,0.823499,0.820057,0.820059,0.821876,0.820079,0.819859,0.820089,0.820019,0.823623,0.825805,0.820199,0.820896,0.820074,0.820057,0.821208,0.825742,0.823795,0.824034,0.825369,1.000000,0.820231,0.819863,0.820230,0.820284,0.820096,0.819994,0.824128,0.820233,0.820122,0.827227,0.820159,0.820077,0.820231,0.822741,0.820159,0.820118,0.820160,0.820117,0.819922,0.820042,0.819971,0.820150,0.823990,0.820233,0.819929,0.820009,0.823786,0.820088,0.824202,0.820317,0.820261,0.820192,0.820185,0.820400,0.819871,0.820133,0.825894,0.820325,0.819865,0.820356,0.823818,0.822547,0.820387,0.820115,0.819992,0.820543,0.820450,0.820012,0.820235,0.820135,0.822464,0.819951,0.819800,0.819903,0.819764,0.820340,0.819921,0.820232,0.820046,0.819803,0.820137,0.820191,0.819831,0.820044
sigma_90,0.789423,0.789486,0.789227,0.789874,0.789499,0.789170,0.789461,0.789414,0.793107,0.789334,0.789540,0.790017,0.794602,0.793654,0.789587,0.789433,0.793395,0.789330,0.789314,0.789250,0.789214,0.789438,0.793782,0.789373,0.789087,0.795904,0.789629,0.789903,0.794937,0.789370,0.789421,0.789586,0.789442,0.789445,0.789776,0.789591,1.000000,0.792747,0.789658,0.789425,0.789346,0.796088,0.789349,0.789319,0.789375,0.789217,0.789680,0.789901,0.789780,0.792351,0.789623,0.789845,0.790069,0.789662,0.789543,0.795381,0.789452,0.789785,0.789485,0.795447,0.789249,0.794425,0.789514,0.789480,0.789473,0.789674,0.789298,0.789752,0.789685,0.789152,0.789534,0.792995,0.796373,0.789853,0.789521,0.789692,0.793893,0.789418,0.789235,0.789717,0.789314,0.789315,0.789946,0.789411,0.795291,0.789476,0.789266,0.789390,0.789479,0.789571,0.795805,0.789502,0.789557,0.789537,0.789463,0.792565,0.789440,0.789528,0.789892,0.789412
sigma_93,0.870521,0.870574,0.870500,0.876051,0.870606,0.870444,0.870568,0.870829,0.872906,0.873124,0.870570,0.870508,0.873713,0.873049,0.870810,0.870654,0.870556,0.870563,0.870526,0.870377,0.870848,0.870642,0.870614,0.870535,0.870499,0.874588,0.870738,0.870551,0.873837,0.870516,0.870481,0.870469,0.870638,0.870814,0.870740,0.870444,0.873960,1.000000,0.870620,0.870527,0.870422,0.870875,0.870467,0.870387,0.873242,0.870959,0.870462,0.873944,0.870480,0.872517,0.870470,0.870556,0.870500,0.870522,0.872734,0.870652,0.870573,0.874764,0.870730,0.870538,0.870648,0.870858,0.873096,0.874392,0.870602,0.870595,0.870497,0.870822,0.873883,0.870548,0.870770,0.872786,0.870694,0.870698,0.870543,0.874807,0.870630,0.870616,0.870610,0.872871,0.873273,0.870747,0.870742,0.872187,0.870748,0.873702,0.870387,0.870654,0.870723,0.872761,0.870824,0.870573,0.870595,0.870554,0.873947,0.870583,0.870542,0.873418,0.870429,0.870492
sigma_95,0.840247,0.840161,0.839968,0.840660,0.840223,0.848258,0.840076,0.844930,0.839934,0.843768,0.840731,0.839949,0.844216,0.840203,0.840267,0.839912,0.840158,0.840349,0.840510,0.840054,0.840049,0.844161,0.840137,0.840310,0.840010,0.844892,0.840585,0.840530,0.840157,0.840078,0.840234,0.840152,0.840199,0.843839,0.840269,0.840374,0.840442,0.840184,1.000000,0.839912,0.840541,0.840395,0.840304,0.840292,0.840217,0.840412,0.840236,0.840083,0.840190,0.840209,0.840157,0.840137,0.840467,0.847462,0.840172,0.844691,0.843728,0.840239,0.840299,0.840180,0.845513,0.840347,0.843379,0.840201,0.843942,0.840246,0.840234,0.840003,0.840038,0.840426,0.840641,0.842800,0.839957,0.840391,0.842485,0.840590,0.843925,0.840241,0.840349,0.840053,0.840211,0.840240,0.840177,0.840224,0.839971,0.840207,0.842275,0.840478,0.840205,0.843071,0.845187,0.844918,0.843605,0.840358,0.840442,0.840143,0.844033,0.843607,0.840057,0.840150
sigma_2,0.740201,0.740708,0.740420,0.740237,0.740396,0.740714,0.740274,0.740168,0.740190,0.740195,0.740320,0.740109,0.740252,0.740000,0.739801,0.740676,0.740094,0.746098,0.740123,0.740114,0.747502,0.740336,0.740085,0.746259,0.745792,0.739830,0.740816,0.740311,0.740619,0.740324,0.740455,0.740398,0.740093,0.740072,0.739989,0.740289,0.740070,0.739951,0.739772,1.000000,0.747299,0.748175,0.746220,0.744781,0.745451,0.750465,0.745508,0.746923,0.748769,0.743695,0.749415,0.746447,0.748732,0.740029,0.739900,0.740173,0.740472,0.740561,0.740172,0.740447,0.740213,0.740421,0.740478,0.740150,0.740185,0.739821,0.740202,0.740359,0.739977,0.740036,0.740192,0.739926,0.740306,0.739998,0.740127,0.740112,0.740279,0.739861,0.740009,0.740050,0.740309,0.740790,0.740766,0.740189,0.740774,0.740243,0.740337,0.740280,0.740498,0.740056,0.740222,0.740849,0.740142,0.740371,0.740692,0.740118,0.740158,0.740403,0.740657,0.740288
sigma_7,0.766152,0.766435,0.771253,0.766464,0.766259,0.766134,0.765817,0.765578,0.765550,0.770844,0.766221,0.765821,0.766105,0.765823,0.765586,0.772401,0.765996,0.766158,0.771960,0.768374,0.766136,0.771674,0.765734,0.771564,0.766066,0.765734,0.766404,0.766189,0.765841,0.765997,0.766061,0.766149,0.770150,0.766088,0.765792,0.765862,0.765752,0.765606,0.766163,0.773058,1.000000,0.766007,0.771350,0.769892,0.765896,0.766618,0.765899,0.766110,0.765784,0.765789,0.766205,0.766091,0.766130,0.766284,0.765768,0.772356,0.771192,0.765746,0.765933,0.766041,0.773995,0.765784,0.765598,0.766095,0.765784,0.766263,0.766009,0.765837,0.765806,0.766092,0.773103,0.765896,0.765561,0.765969,0.765828,0.765901,0.770921,0.765791,0.766298,0.765600,0.770856,0.775628,0.766328,0.765911,0.765675,0.766048,0.765676,0.765910,0.766119,0.765975,0.765739,0.766247,0.766031,0.765661,0.766457,0.765598,0.766120,0.766010,0.765971,0.765923
sigma_22,0.733035,0.733260,0.733173,0.733065,0.733020,0.732821,0.732952,0.733629,0.733052,0.732996,0.742334,0.732916,0.732931,0.733020,0.733148,0.733355,0.732882,0.733491,0.733292,0.735779,0.733261,0.739432,0.733323,0.733099,0.733106,0.733126,0.733031,0.732915,0.739865,0.733049,0.732804,0.733111,0.733180,0.732864,0.733060,0.733001,0.739738,0.733302,0.733258,0.741176,0.733249,1.000000,0.733096,0.733194,0.738771,0.733092,0.733179,0.740095,0.733700,0.733355,0.733182,0.733793,0.733382,0.733647,0.733218,0.733335,0.733346,0.733482,0.733660,0.740434,0.733115,0.733823,0.738343,0.733175,0.733628,0.733293,0.732981,0.739564,0.732951,0.733096,0.733398,0.737534,0.733413,0.733607,0.737168,0.733457,0.733203,0.733106,0.733167,0.733434,0.733108,0.732861,0.733315,0.732955,0.733582,0.733233,0.736600,0.733313,0.733366,0.737556,0.733140,0.732865,0.733080,0.733188,0.733125,0.733237,0.733215,0.732777,0.741056,0.733159
sigma_26,0.801778,0.806249,0.806683,0.801825,0.801946,0.801442,0.805755,0.801679,0.801854,0.801889,0.801655,0.802179,0.806491,0.801704,0.801731,0.801777,0.801716,0.801923,0.801959,0.801711,0.802130,0.801584,0.801796,0.806397,0.802072,0.801750,0.801641,0.802015,0.801630,0.804263,0.801712,0.801778,0.801838,0.801791,0.801818,0.805785,0.801646,0.801543,0.801816,0.807868,0.807238,0.801746,1.000000,0.801814,0.801638,0.802199,0.806073,0.801879,0.801766,0.801842,0.802241,0.801911,0.802139,0.801428,0.801632,0.801528,0.801794,0.801556,0.802127,0.801870,0.802264,0.801897,0.801894,0.801929,0.806289,0.802069,0.801653,0.806723,0.802116,0.809227,0.801870,0.801802,0.801926,0.807634,0.801700,0.801749,0.801905,0.801859,0.801707,0.801703,0.801625,0.802174,0.801835,0.801432,0.807119,0.806805,0.801933,0.802090,0.801778,0.801758,0.802047,0.807582,0.801621,0.801570,0.801615,0.801666,0.806294,0.806092,0.801806,0.804688
sigma_27,0.855883,0.859590,0.855907,0.855979,0.855855,0.855958,0.855968,0.855965,0.858349,0.855747,0.856200,0.855881,0.855649,0.855847,0.855827,0.856025,0.858470,0.859325,0.859635,0.855801,0.855962,0.855909,0.855917,0.856085,0.858948,0.856089,0.856102,0.855768,0.856086,0.855936,0.862273,0.860319,0.855890,0.858869,0.856277,0.856109,0.855836,0.855684,0.856024,0.860641,0.859996,0.856063,0.856034,1.000000,0.858887,0.856102,0.855922,0.855995,0.856154,0.855678,0.861077,0.859470,0.856274,0.855927,0.855726,0.856020,0.859139,0.856013,0.859315,0.856254,0.861031,0.859216,0.856046,0.856135,0.859151,0.855882,0.855836,0.855791,0.855917,0.856263,0.856056,0.858058,0.855935,0.855993,0.855730,0.856109,0.855969,0.855736,0.856163,0.855737,0.856126,0.856016,0.855791,0.855905,0.855853,0.855890,0.857942,0.855904,0.855965,0.858489,0.855826,0.856268,0.855991,0.859376,0.855902,0.855736,0.859229,0.855862,0.856001,0.855942
sigma_38,0.824335,0.824453,0.824561,0.824485,0.824466,0.824423,0.824283,0.829418,0.824238,0.824367,0.824876,0.824189,0.824505,0.824416,0.824573,0.824518,0.824287,0.824538,0.824450,0.826291,0.824692,0.828803,0.824365,0.824408,0.828257,0.824526,0.828941,0.824491,0.828763,0.826680,0.824663,0.824415,0.824390,0.824374,0.824335,0.824507,0.824399,0.827048,0.824457,0.829824,0.824514,0.830141,0.824366,0.827396,1.000000,0.824583,0.824591,0.824500,0.824658,0.824409,0.824734,0.824618,0.824810,0.825028,0.827324,0.824554,0.824640,0.824793,0.828494,0.824615,0.824630,0.824581,0.824419,0.829616,0.828541,0.824899,0.824654,0.824708,0.824438,0.824707,0.824319,0.824540,0.824204,0.824471,0.824489,0.830147,0.824326,0.824317,0.824482,0.824402,0.824632,0.824300,0.824427,0.826601,0.824187,0.824377,0.826839,0.827863,0.829854,0.824690,0.824665,0.824277,0.827736,0.824575,0.824684,0.824295,0.824361,0.824435,0.824479,0.824206
sigma_39,0.645274,0.644977,0.644402,0.659360,0.645466,0.661779,0.652064,0.644961,0.644791,0.645507,0.644914,0.645652,0.644765,0.644959,0.645403,0.655052,0.645202,0.644854,0.644835,0.645034,0.644965,0.644702,0.644799,0.645667,0.645167,0.646195,0.654589,0.656584,0.645219,0.644935,0.660202,0.645352,0.645144,0.644545,0.645360,0.651830,0.644454,0.644977,0.644864,0.655062,0.645451,0.644681,0.645139,0.644822,0.644795,1.000000,0.645269,0.645185,0.645115,0.644751,0.645421,0.645136,0.645664,0.645646,0.644926,0.645229,0.645227,0.656190,0.645264,0.644722,0.644487,0.645102,0.644538,0.644758,0.644700,0.644765,0.645150,0.644389,0.644590,0.644911,0.645073,0.644892,0.644986,0.644417,0.644747,0.644691,0.645002,0.645038,0.645015,0.644358,0.645123,0.660161,0.654820,0.644352,0.644701,0.644391,0.644601,0.644926,0.645058,0.644367,0.644919,0.644686,0.645125,0.645080,0.654383,0.644440,0.645146,0.652628,0.644436,0.644849
sigma_50,0.820100,0.820152,0.820079,0.819811,0.820102,0.820283,0.820029,0.820166,0.820028,0.820157,0.819805,0.826019,0.824609,0.823704,0.820073,0.819935,0.823614,0.820168,0.820199,0.819866,0.820063,0.820118,0.820347,0.820417,0.824011,0.820409,0.824807,0.826218,0.820028,0.822477,0.820299,0.819900,0.820388,0.820139,0.820051,0.820201,0.820363,0.819924,0.820134,0.825542,0.820175,0.820214,0.824458,0.820087,0.820249,0.820713,1.000000,0.820598,0.820433,0.820071,0.820434,0.820510,0.820727,0.820332,0.820149,0.820471,0.824080,0.820332,0.820014,0.819987,0.820114,0.824517,0.823669,0.820133,0.819904,0.820283,0.820114,0.819934,0.820122,0.820545,0.820159,0.819760,0.820396,0.820254,0.820074,0.819876,0.820221,0.819888,0.819995,0.820141,0.819940,0.820545,0.825359,0.822358,0.825373,0.820168,0.820013,0.823967,0.820111,0.820051,0.820212,0.825348,0.823364,0.820218,0.820283,0.822727,0.820140,0.820139,0.825895,0.820054
sigma_57,0.778221,0.778460,0.778217,0.778169,0.778520,0.778298,0.778266,0.778468,0.782426,0.778323,0.778384,0.778557,0.778349,0.778136,0.778321,0.784313,0.778410,0.778338,0.778190,0.778063,0.778308,0.778424,0.778546,0.783300,0.778275,0.778409,0.778560,0.778361,0.778731,0.781103,0.778712,0.778202,0.778429,0.778245,0.784353,0.778349,0.778813,0.781641,0.778210,0.785186,0.778615,0.785357,0.778494,0.778390,0.778387,0.778859,0.778827,1.000000,0.778397,0.781652,0.778684,0.778682,0.778860,0.778414,0.778280,0.778596,0.783091,0.778732,0.778404,0.778737,0.778028,0.783693,0.782965,0.778594,0.778229,0.778323,0.778283,0.778442,0.778763,0.778064,0.778812,0.778325,0.778610,0.778666,0.778300,0.778525,0.778122,0.781387,0.778746,0.782214,0.778318,0.778380,0.784802,0.778248,0.784590,0.778536,0.778323,0.778296,0.778272,0.782283,0.778280,0.778135,0.778197,0.778301,0.778319,0.781349,0.778533,0.778426,0.778953,0.778493
sigma_63,0.724223,0.730466,0.723946,0.723951,0.724316,0.724026,0.724033,0.731685,0.723886,0.724041,0.724710,0.724286,0.723926,0.723892,0.723937,0.724116,0.723723,0.730264,0.724291,0.723853,0.732257,0.723921,0.729918,0.724007,0.724111,0.723700,0.723932,0.724120,0.724497,0.723859,0.723974,0.724835,0.724118,0.723955,0.724029,0.724134,0.724324,0.723802,0.723948,0.732668,0.723922,0.724596,0.724012,0.724180,0.724177,0.724422,0.724294,0.724028,1.000000,0.723965,0.733405,0.724976,0.724279,0.723742,0.723990,0.724212,0.724241,0.732652,0.724133,0.731747,0.724083,0.724361,0.724174,0.724103,0.724176,0.724406,0.729942,0.724030,0.724223,0.723897,0.724025,0.724112,0.733058,0.723966,0.727978,0.724074,0.724059,0.724002,0.723941,0.724488,0.724600,0.723720,0.724330,0.727704,0.724664,0.723989,0.723929,0.724015,0.724829,0.724033,0.723991,0.724133,0.729530,0.724702,0.724322,0.728063,0.724369,0.724088,0.732510,0.724024
